(-3719,0)
(1507.24,-2137.61)
(1110.42,2507.34)
(-2171.82,876.891)
(843.955,-2782.27)
(2731.43,2280.88)
(-3071.2,78.4445)
(997.782,-2787.51)
(1590.97,1484.26)
(-2581.58,1189.46)
(-191.378,-3057.66)
(2312.33,2260.57)
(-2479.57,1308.8)
(210.903,-2424.24)
(2813.71,1188.38)
(-2076.69,1646.49)
(-135.968,-3353.17)
(2386.56,853.609)
(-2308.61,1673.08)
(-948.178,-2753.55)
(2333.59,921.35)
(-1716.22,2490.5)
(-999.811,-2436.41)
(3153.04,517.04)
(-1267.84,2380.46)
(-914.614,-2931.93)
(2649.36,-478.434)
(-1580.46,2362.38)
(-1911.42,-2431.07)
(2421.16,-288.922)
(-1365.08,3193.12)
(-1500.27,-1571.41)
(3117.46,-684.961)
(-297.918,2804.29)
(-1825.54,-2219.23)
(2839.52,-1511.29)
(-859.048,2343.51)
(-2749.69,-1544.88)
(2137.02,-1151.81)
(-184.129,3302.26)
(-2396.52,-895.924)
(2831.57,-1325.47)
(653.454,2670.84)
(-2233.53,-1170.2)
(2232.7,-2472.84)
(331.44,2314.64)
(-3286.47,-722.861)
(1650.74,-1881.72)
(670.427,2799.65)
(-2947.87,310.205)
(2240.05,-1754.14)
(1936.16,2141.14)
(-2708.43,-385.057)
(1287.46,-2597.97)
(1772.78,1756.89)
(-3334.25,-50.1898)
(215.171,-2416.91)
(1790.22,2608.02)
(-2664.45,1217.01)
(1034.69,-2488.39)
(2492.41,1791.84)
(-2203.08,1043.03)
(608.339,-3312.35)
(2177,710.396)
(-3235.76,1574.94)
(-107.313,-2863.6)
(2002.06,1233.19)
(-2672.57,2662.16)
(364.352,-2245.19)
(3307.33,452.691)
(-2060.44,2115.01)
(-358.013,-3315.05)
(2891.13,34.1784)
(-2685.02,1875.76)
(-1485.08,-2594.46)
(2391.82,845.895)
(-1354.66,2991.6)
(-1048.94,-2281.3)
(3208.01,-131.888)
(-545.328,2707.38)
(-2029.86,-3498.01)
(2793.36,-75.5514)
(-1147.59,2465.73)
(-2253.35,-2440.67)
(2260.05,-322.78)
(-519.761,3353.34)
(-1936.39,-1869.12)
(2720.4,-863.773)
(189.089,2840.34)
(-2438.05,-1602.68)
(3020.1,-1816.45)
(93.8259,2390.41)
(-3751.75,-1708.18)
(2503.59,-1084.49)
(-80.2142,2893.86)
(-2696.26,-220.763)
(2554.8,-1833.9)
(1427.18,2986.14)
