(0.5,3719)
(-0.152256,2615.56)
(0.183648,2742.23)
(0.438926,2342.17)
(-0.203127,2907.46)
(0.110732,3558.52)
(0.495936,3072.2)
(-0.195293,2960.71)
(0.119479,2175.83)
(0.431284,2842.43)
(-0.259948,3063.64)
(0.123198,3233.73)
(0.422704,2803.79)
(-0.236189,2433.4)
(0.0636025,3054.37)
(0.393309,2650.2)
(-0.25645,3355.93)
(0.0546688,2534.63)
(0.400191,2851.12)
(-0.302781,2912.23)
(0.0598476,2508.89)
(0.346031,3024.57)
(-0.311976,2633.57)
(0.0258682,3195.15)
(0.327889,2697.04)
(-0.298126,3071.28)
(-0.0284345,2692.21)
(0.343842,2842.3)
(-0.356045,3092.51)
(-0.0189029,2438.34)
(0.314297,3472.68)
(-0.371315,2172.59)
(-0.0344222,3191.82)
(0.266845,2820.07)
(-0.359558,2873.6)
(-0.0778429,3216.66)
(0.30592,2496)
(-0.418531,3153.95)
(-0.0786771,2427.66)
(0.258865,3307.39)
(-0.443061,2558.51)
(-0.0696792,3126.45)
(0.211811,2749.62)
(-0.423192,2521.51)
(-0.133115,3331.65)
(0.227364,2338.25)
(-0.465542,3365.02)
(-0.135392,2503.16)
(0.212592,2878.8)
(0.483313,2964.14)
(-0.105733,2845.15)
(0.132994,2886.73)
(-0.477524,2735.66)
(-0.176774,2899.49)
(0.124284,2495.87)
(-0.497604,3334.63)
(-0.235868,2426.47)
(0.154259,3163.33)
(0.431808,2929.23)
(-0.187284,2694.94)
(0.0992029,3069.65)
(0.429625,2437.52)
(-0.221092,3367.75)
(0.0502012,2289.98)
(0.427907,3598.69)
(-0.255962,2865.61)
(0.087865,2351.38)
(0.375311,3772.23)
(-0.224395,2274.56)
(0.0216498,3338.17)
(0.37292,2952.75)
(-0.267122,3334.33)
(0.00188141,2891.33)
(0.402949,3275.33)
(-0.332742,2989.43)
(0.0541021,2536.99)
(0.317672,3284.02)
(-0.318591,2510.9)
(-0.00653952,3210.72)
(0.281634,2761.75)
(-0.333684,4044.31)
(-0.00430358,2794.38)
(0.319328,2719.7)
(-0.368652,3321.82)
(-0.0225778,2282.98)
(0.274474,3393.38)
(-0.377813,2691.32)
(-0.048932,2854.24)
(0.23942,2846.63)
(-0.407446,2917.65)
(-0.0861806,3524.27)
(0.243756,2392.25)
(-0.432,4122.31)
(-0.0650584,2728.38)
(0.25441,2894.97)
(-0.486998,2705.28)
(-0.0990884,3144.87)
(0.179043,3309.67)
(-0.441956,2978.92)
(-0.13724,3620.03)
(0.200505,2273.47)
(-0.48457,3875.7)
(-0.147684,2574.08)
(0.189926,3489.01)
(0.49899,2786.7)
(-0.136293,2849.71)
(0.128229,2584.63)
(0.467023,2761.17)
(-0.202972,3321.8)
(0.12204,2821.79)
(0.456612,3089.98)
(-0.249878,3546.54)
(0.139243,3878.12)
(0.474721,3372.12)
(-0.201633,1878.33)
(0.0625887,3368.31)
(0.404241,2969.66)
(-0.242199,3709.5)
(0.0563138,3118.45)
(0.43685,3588.48)
(-0.298433,3152.14)
(0.0950497,3857.19)
(0.409355,2848.34)
(-0.281588,2701.15)
(0.0508734,3436.09)
(0.391279,2458.42)
(-0.328277,2874.69)
(0.0130478,3631.3)
(0.386486,3234.96)
(-0.296958,2489.74)
(-0.0470916,2544.16)
(0.326346,3648.99)
(-0.354856,3223.04)
(0.0187277,3280.91)
(0.295626,2968.37)
(-0.343414,2875.1)
(-0.0370067,3489.8)
(0.316716,2255.99)
(-0.397995,3454.8)
(-0.0664896,2797.55)
(0.290211,4032.47)
(-0.359878,2464.51)
(-0.0712689,3059.59)
(0.318726,2995.72)
(-0.484194,916.746)
(-0.142991,3156.69)
(0.154677,2524.49)
(-0.466161,3955.66)
(-0.158309,3054.27)
(0.186549,3698.35)
(-0.495187,4740.96)
(-0.0820301,4633.51)
(0.242502,3246.48)
(-0.432102,2419.94)
(-0.162372,2316.81)
(0.118065,3109.45)
(0.479821,3771.35)
(-0.164755,4566.81)
(0.206162,2766.61)
(0.495357,4170.7)
(-0.117152,1844.63)
(0.105629,3796.35)
(0.483922,3415.44)
(-0.163729,3329.33)
(0.141222,3245.55)
(-0.42572,2222.64)
(-0.282582,2434.68)
(0.13147,1282.34)
(0.325854,3232.2)
(-0.309773,3161.7)
(0.0570478,3971.47)
(0.368061,3205.14)
(-0.281904,3520.87)
(0.0360113,4295.89)
(0.430788,3048.19)
(-0.300276,3525.35)
(0.039989,2080)
(0.311847,3454.86)
(-0.366957,4192.14)
(0.0404815,4344.4)
(0.301188,4133.17)
(-0.28719,4287.3)
(-0.0204865,4366.2)
(0.383973,4261.88)
(-0.306017,3605.38)
(-0.0299298,2971.84)
(0.362816,5274.99)
(-0.265227,1923.4)
(-0.00815944,3466.47)
(0.362023,2555.99)
(-0.334647,1468.39)
(-0.104177,2231.43)
(0.167798,2649.74)
(-0.41667,4781.45)
(-0.0489917,2266.55)
(0.205433,3119.94)
(-0.462183,3973.81)
(-0.0836199,3907.43)
(0.247223,4046.17)
(-0.381519,2616.57)
(-0.125752,3238.57)
(0.251128,3016.38)
(-0.401761,1937.81)
(-0.240572,2286.09)
(0.155548,3161.91)
(0.463792,2956.42)
(-0.204762,3613.27)
(0.179412,3475.06)
(0.424587,2400.84)
(-0.236955,3309.68)
(0.0624456,4490.87)
(0.466493,4762.22)
(-0.249363,3493.41)
(0.0748966,5797.67)
(0.487648,5964.05)
(-0.17957,4286.75)
(0.185553,2251.64)
(0.362923,5828.08)
(-0.146379,4868.39)
(0.0579981,4621.84)
(-0.435105,3923.58)
(-0.4072,3178.36)
(0.0353256,5360.41)
(0.433309,4515.8)
(-0.334892,4251)
(0.106634,6092.21)
(0.393253,2724.69)
(-0.267679,3753.47)
(0.0187982,4399.68)
(0.435515,3798.46)
(-0.321495,2756.5)
(-0.0319896,3252.19)
(0.32814,4635.48)
(-0.347098,4456.88)
(0.0392793,5019.4)
(0.360834,3279.83)
(-0.330302,3371.56)
(0.0013218,3085.24)
(0.249384,3049.91)
(-0.380585,4146.82)
(-0.0680541,4119.94)
(0.291429,3783.71)
(-0.409398,4548.67)
(-0.069488,3644.4)
(0.262508,5488.93)
(-0.386893,3862.07)
(-0.0382563,4443.65)
(0.19755,3093.68)
(-0.420039,4775.46)
(-0.120401,4767.74)
(0.267346,4780.99)
(-0.417766,4786.62)
(-0.0654744,2824.78)
(0.198701,4644.92)
(-0.438319,4124.05)
(-0.0898771,4011.54)
(0.208083,3700.02)
(-0.438145,2296.87)
(-0.194458,4590.32)
(0.169268,3083.79)
(-0.495066,5540.35)
(-0.170764,2293.84)
(0.161497,5236.1)
(0.466185,2456.33)
(-0.209696,4495.41)
(0.127503,4357.59)
(0.456904,3071.3)
(-0.245652,5779.64)
(0.160499,4329.94)
(0.45095,3728.82)
(-0.262309,4258.07)
(0.13472,3873.99)
(0.358044,4892.42)
(-0.216637,4850.92)
(0.0697631,4998.4)
(0.442277,3220.43)
(-0.29821,5174.07)
(0.0831535,4995.03)
(0.477788,3470.39)
(-0.40563,3750.57)
(0.00972581,5139.71)
(0.347003,7064.89)
(-0.217151,4927.77)
(0.0241858,3863.41)
(0.317227,3647.41)
(-0.304226,5377.66)
(-0.0182349,3852.35)
(0.373613,4292.11)
(-0.391118,4258.36)
(-0.00169815,3608.82)
(0.275797,5327.62)
(-0.381812,3327.45)
(-0.0703945,5799.6)
(0.239531,5656.9)
(-0.358606,7510.7)
(-0.0291314,6327.99)
(0.397102,4822.96)
(-0.430312,4979.96)
(0.019532,4070.12)
(0.255041,5260.29)
(-0.318736,2914.75)
(-0.0815683,4404.09)
(0.303402,1998.28)
(0.487392,2651.27)
(-0.175303,4656.01)
(0.207336,2915.63)
(0.452064,4435.6)
(-0.233588,4726.91)
(0.151499,7648.94)
(-0.468294,5471.36)
(-0.157554,4173.35)
(0.110586,5258.76)
(0.473625,6194.22)
(-0.144602,5415.47)
(0.0356243,4571.44)
(0.464342,8399.2)
(-0.203943,6018.21)
(0.170988,6001.69)
(0.431302,5806.27)
(-0.184688,5096.89)
(0.104914,6256.04)
(0.424528,3830.41)
(-0.254344,7166.44)
(0.074709,6937.12)
(-0.48996,7709.88)
(-0.302736,3125.36)
(0.087749,5283.38)
(0.404373,5614.86)
(-0.33182,2437.31)
(0.0248889,7667.74)
(0.320945,4598.94)
(-0.258286,7626.21)
(-0.0758023,4772.17)
(0.420674,6470.23)
(0.499285,7814.02)
(0.00212626,12531.7)
(0.355775,6884.83)
(-0.32395,10268.1)
(0.163373,7761.11)
(0.151847,5058.02)
(-0.355186,5335.66)
(-0.105531,10448.2)
(0.358885,5889.34)
(-0.421301,11740.3)
(0.0328478,7090.64)
(0.326241,8612.41)
(0.479927,2301.93)
(-0.0434427,8034.52)
(0.090968,6726)
(-0.459083,10357.9)
(-0.0952393,17625.4)
(-0.486461,12446.5)
(0.380493,15287.7)
(-0.106574,12592.7)
(0.255218,17403.9)
(-0.125689,8755.45)
(-0.268589,15874.6)
(0.269728,18009.9)
(-0.107974,7618.53)
(-0.309055,19961.3)
(0.278834,22908.6)
(0.0166707,7138.63)
(-0.207807,11805.2)
(-0.287935,7243.51)
(0.31595,20152.4)
(-0.360105,16607.1)
(0.0704761,30595)
(0.340229,18646.4)
(-0.221008,53331.9)
(0.298507,25606.6)
(0.420512,34047)
(-0.0497413,45346.1)
(-0.472943,9819.12)
(-0.458759,22724.9)
(0.228305,23974.1)
(-0.119191,29461.2)
(0.277813,37531.4)
(-0.240886,59749.9)
(0.242096,22752.3)
(0.384465,36720.9)
(-0.12787,46375.2)
(0.0971792,3183.88)
(0.472426,67942.6)
(0.0659652,67214.4)
(-0.285547,17583.7)
(0.0549624,25378.4)
(-0.319681,66178.7)
(0.283721,36361.4)
(0.424612,19214.4)
(0.200033,27197.9)
(-0.107735,74497.3)
(0.437006,79840.6)
(-0.114421,30629.2)
(0.0943304,45564.2)
(-0.429636,57580.2)
(0.0212703,44222.5)
(-0.411267,45966.6)
